pretty-gorge-49,ethereal-blaze-37,visionary-jazz-36,cool-surf-35,jumping-terrain-34,dutiful-thunder-31,easy-donkey-30,glowing-energy-29,generous-donkey-28,firm-snowflake-23
88.0,86.0,78.0,80.0,82.0,66.0,86.0,81.0,78.0,79.0
86.0,82.0,77.0,74.0,81.0,72.0,81.0,82.0,83.0,82.0
89.0,87.0,77.0,72.0,75.0,71.0,75.0,80.0,80.0,78.0
86.0,87.0,85.0,74.0,87.0,70.0,77.0,83.0,78.0,82.0
85.0,90.0,75.0,70.0,83.0,71.0,75.0,83.0,74.0,74.0
81.0,89.0,80.0,72.0,81.0,69.0,87.0,82.0,79.0,80.0
87.0,83.0,79.0,78.0,81.0,63.0,80.0,76.0,77.0,71.0
90.0,90.0,76.0,73.0,75.0,71.0,79.0,87.0,74.0,76.0
85.0,93.0,89.0,72.0,73.0,75.0,81.0,83.0,71.0,78.0
85.0,90.0,81.0,68.0,78.0,70.0,76.0,78.0,75.0,71.0
79.0,91.0,87.0,67.0,84.0,74.0,82.0,71.0,76.0,82.0
84.0,88.0,83.0,66.0,78.0,70.0,83.0,82.0,74.0,76.0
86.0,89.0,77.0,73.0,83.0,65.0,79.0,79.0,81.0,71.0
84.0,83.0,84.0,74.0,74.0,70.0,78.0,82.0,78.0,74.0
85.0,86.0,75.0,74.0,76.0,67.0,84.0,79.0,78.0,75.0
83.0,91.0,87.0,73.0,82.0,69.0,90.0,88.0,81.0,71.0
87.0,90.0,81.0,68.0,75.0,69.0,76.0,75.0,77.0,68.0
90.0,89.0,79.0,72.0,84.0,68.0,86.0,90.0,84.0,77.0
85.0,87.0,77.0,72.0,86.0,74.0,80.0,85.0,75.0,73.0
88.0,91.0,85.0,70.0,79.0,63.0,83.0,87.0,82.0,75.0
87.0,84.0,83.0,75.0,82.0,78.0,83.0,81.0,76.0,66.0
89.0,89.0,85.0,71.0,85.0,73.0,84.0,79.0,81.0,76.0
89.0,88.0,85.0,67.0,81.0,75.0,82.0,84.0,83.0,76.0
86.0,92.0,85.0,70.0,76.0,79.0,78.0,87.0,77.0,77.0
84.0,84.0,82.0,73.0,76.0,67.0,87.0,79.0,75.0,78.0
90.0,93.0,90.0,71.0,83.0,75.0,84.0,84.0,81.0,71.0
85.0,90.0,83.0,77.0,75.0,73.0,80.0,85.0,75.0,73.0
86.0,86.0,84.0,71.0,79.0,70.0,80.0,79.0,78.0,71.0
84.0,85.0,84.0,68.0,83.0,69.0,79.0,77.0,73.0,73.0
86.0,86.0,82.0,70.0,73.0,65.0,79.0,80.0,78.0,68.0
88.0,83.0,82.0,76.0,80.0,74.0,78.0,82.0,74.0,78.0
81.0,88.0,86.0,66.0,76.0,73.0,84.0,80.0,76.0,65.0
89.0,84.0,78.0,75.0,75.0,70.0,81.0,80.0,77.0,71.0
90.0,89.0,88.0,65.0,78.0,75.0,84.0,84.0,75.0,75.0
93.0,92.0,77.0,66.0,74.0,73.0,77.0,78.0,78.0,74.0
81.0,83.0,74.0,74.0,72.0,63.0,78.0,69.0,73.0,59.0
